destination_name,origin_name,2019,2020,2021,2022
NL,GR,3333.0,1142.0,1950.0,2945.0
FR,CZ,3330.0,1351.0,1809.0,3434.0
CH,RU,3319.0,1440.0,1737.0,441.0
BE,SE,3318.0,1476.0,1739.0,2128.0
CZ,FR,3316.0,1324.0,1832.0,3144.0
PL,DK,3279.0,1732.0,1987.0,4271.0
RU,AT,3274.0,1075.0,1241.0,252.0
DK,PL,3249.0,1653.0,1970.0,4205.0
CH,GR,3209.0,1578.0,2014.0,3415.0
FI,RU,3163.0,758.0,1218.0,326.0
MT,GB,3151.0,1778.0,2197.0,2907.0
DK,CH,3132.0,1364.0,1516.0,3003.0
HU,IT,3128.0,1125.0,1485.0,3622.0
PL,CH,3097.0,1411.0,1949.0,2955.0
PL,BE,3091.0,1645.0,1511.0,2219.0
LU,GB,3078.0,1214.0,1030.0,3037.0
RU,NL,3049.0,1049.0,1542.0,287.0
RU,FI,3031.0,683.0,1209.0,316.0
ES,NO,2998.0,966.0,1571.0,5369.0
NL,NO,2971.0,1975.0,2650.0,4907.0
TR,ES,2963.0,1304.0,1997.0,3188.0
CH,DK,2943.0,1352.0,1537.0,2966.0
CH,PL,2933.0,1373.0,1949.0,2854.0
PL,NO,2911.0,2363.0,2852.0,4168.0
TR,AT,2900.0,1502.0,1961.0,2617.0
NO,PL,2896.0,2194.0,2796.0,4744.0
GR,RU,2887.0,330.0,704.0,93.0
GR,PL,2885.0,896.0,1690.0,2265.0
PL,ES,2876.0,1621.0,2934.0,5126.0
IT,LU,2816.0,1507.0,1695.0,3165.0
BE,PL,2811.0,1592.0,1643.0,2302.0
GB,LU,2810.0,1088.0,771.0,2776.0
BE,AT,2804.0,1497.0,1778.0,2967.0
FI,ES,2770.0,552.0,835.0,2241.0
LU,IT,2756.0,1471.0,1687.0,3145.0
SE,CH,2743.0,1189.0,1261.0,2446.0
KZ,KZ,2718.0,1510.0,3850.0,215.0
GR,BE,2672.0,1118.0,1391.0,1962.0
CZ,NL,2664.0,1147.0,1483.0,2113.0
AT,BE,2659.0,1373.0,1599.0,2810.0
NL,RU,2650.0,1035.0,1675.0,289.0
DK,BE,2644.0,1096.0,1240.0,2299.0
TR,BE,2633.0,1557.0,2412.0,2954.0
BE,DK,2627.0,1108.0,1256.0,2305.0
RU,TR,2625.0,5226.0,5318.0,5205.0
UA,PL,2616.0,1996.0,2991.0,489.0
PL,UA,2609.0,1854.0,2826.0,483.0
IL,DE,2605.0,1225.0,1991.0,3961.0
RS,DE,2589.0,1174.0,1489.0,3394.0
DE,RS,2587.0,1324.0,2283.0,3432.0
CH,SE,2566.0,1193.0,1239.0,2432.0
RU,GR,2526.0,252.0,602.0,90.0
NL,TR,2497.0,1098.0,2958.0,3517.0
IL,IT,2483.0,476.0,1031.0,3500.0
TR,IL,2478.0,2055.0,2682.0,5012.0
CZ,ES,2463.0,1022.0,1504.0,2725.0
ES,PL,2452.0,1570.0,3061.0,5354.0
RU,KZ,2446.0,681.0,631.0,328.0
GB,LV,2437.0,1156.0,1398.0,1774.0
KZ,RU,2409.0,623.0,533.0,283.0
LV,GB,2401.0,1136.0,1542.0,2084.0
FR,HU,2393.0,875.0,1231.0,2806.0
IT,SE,2386.0,554.0,857.0,2243.0
NO,FI,2384.0,809.0,967.0,2013.0
PL,GR,2335.0,808.0,1729.0,2427.0
ES,FI,2330.0,523.0,885.0,2573.0
IL,FR,2321.0,669.0,1224.0,3085.0
SE,IT,2321.0,527.0,848.0,2209.0
CY,GB,2310.0,1657.0,2632.0,6277.0
CH,TR,2308.0,1671.0,3257.0,4548.0
PL,IE,2295.0,1485.0,1856.0,2788.0
FI,LV,2294.0,1166.0,1025.0,1829.0
BE,GR,2277.0,718.0,1157.0,2053.0
LV,FI,2268.0,1155.0,1020.0,1873.0
IS,DE,2228.0,601.0,794.0,1134.0
MT,IT,2225.0,1395.0,2137.0,2834.0
ES,CZ,2218.0,1032.0,1538.0,2808.0
CH,HU,2214.0,798.0,981.0,2073.0
GR,AT,2209.0,1026.0,1242.0,1888.0
HU,FR,2195.0,880.0,1237.0,2723.0
NL,CZ,2191.0,1065.0,1462.0,2077.0
FI,NO,2187.0,741.0,912.0,1977.0
NO,FR,2161.0,602.0,852.0,2935.0
MT,DE,2141.0,1265.0,1490.0,1681.0
DE,IS,2103.0,536.0,714.0,1065.0
HU,CH,2094.0,791.0,995.0,2092.0
GR,ES,2069.0,691.0,901.0,1185.0
DK,AT,2066.0,799.0,734.0,1676.0
AT,DK,2065.0,830.0,722.0,1659.0
DE,IL,2059.0,1663.0,2038.0,4311.0
ES,RO,2050.0,1092.0,1833.0,2985.0
TR,SE,2045.0,868.0,1518.0,1995.0
GB,MT,2038.0,1612.0,2028.0,2756.0
IT,IL,2028.0,770.0,1128.0,3770.0
BE,CZ,2022.0,798.0,777.0,1357.0
IE,CH,2020.0,696.0,684.0,1981.0
RU,HU,2018.0,512.0,587.0,220.0
IE,PL,2014.0,1358.0,1758.0,2529.0
FR,NO,2006.0,642.0,864.0,2697.0
FI,FR,1999.0,742.0,919.0,2743.0
BE,HU,1998.0,647.0,663.0,1274.0
IE,BE,1980.0,1094.0,1139.0,1936.0
ES,TR,1978.0,717.0,2168.0,3252.0
FR,FI,1958.0,768.0,883.0,2710.0
DE,BG,1956.0,486.0,3230.0,4875.0
HU,NL,1956.0,1007.0,1353.0,1928.0
CZ,BE,1953.0,829.0,764.0,1346.0
BE,IE,1952.0,1074.0,1121.0,1836.0
FR,RO,1940.0,952.0,1646.0,3047.0
NL,HU,1939.0,916.0,1381.0,1955.0
AT,SE,1928.0,573.0,706.0,1577.0
FI,NL,1924.0,910.0,1173.0,1938.0
BE,NL,1923.0,1498.0,2178.0,3074.0
HU,ES,1901.0,832.0,1077.0,2231.0
CH,IE,1899.0,645.0,624.0,1882.0
TR,DK,1883.0,776.0,1198.0,1987.0
HU,BE,1880.0,831.0,868.0,1345.0
AT,GR,1875.0,920.0,1271.0,2079.0
SI,SI,1873.0,2320.0,3265.0,3167.0
LU,FR,1873.0,1249.0,1829.0,2803.0
RO,FR,1873.0,920.0,1606.0,3051.0
ES,HU,1865.0,808.0,1090.0,2296.0
CZ,CH,1861.0,788.0,1039.0,2031.0
BE,TR,1859.0,1115.0,2310.0,2575.0
GR,SE,1855.0,175.0,603.0,1226.0
UA,IT,1845.0,639.0,1225.0,217.0
IL,GB,1832.0,899.0,1063.0,2687.0
LV,LV,1831.0,1550.0,1234.0,805.0
AT,TR,1828.0,938.0,1969.0,2517.0
SE,AT,1823.0,565.0,698.0,1599.0
ES,GR,1816.0,600.0,897.0,1679.0
FR,IL,1808.0,1133.0,1477.0,3537.0
TR,GR,1807.0,504.0,836.0,2079.0
EE,SE,1806.0,612.0,679.0,1190.0
PL,RU,1793.0,565.0,857.0,204.0
SE,LV,1791.0,617.0,644.0,1003.0
FR,LU,1790.0,1227.0,1652.0,2902.0
IL,RU,1783.0,469.0,561.0,553.0
IL,GR,1781.0,334.0,935.0,2509.0
FI,IT,1778.0,400.0,645.0,2235.0
NL,BE,1777.0,1435.0,2120.0,3146.0
IT,UA,1776.0,649.0,1274.0,224.0
CH,CZ,1772.0,772.0,1095.0,2090.0
GR,DK,1770.0,440.0,935.0,1324.0
LV,SE,1767.0,613.0,636.0,1137.0
IT,MT,1762.0,1621.0,2676.0,3464.0
HU,RU,1754.0,495.0,598.0,227.0
IT,FI,1746.0,379.0,649.0,2253.0
CH,LU,1737.0,636.0,783.0,1708.0
BE,RU,1731.0,658.0,678.0,208.0
SE,EE,1729.0,534.0,667.0,1242.0
RO,ES,1724.0,1047.0,1839.0,2890.0
NL,FI,1717.0,841.0,1148.0,1918.0
RU,PL,1693.0,533.0,829.0,194.0
LU,CH,1689.0,597.0,709.0,1649.0
SE,RU,1668.0,586.0,384.0,80.0
RO,AT,1663.0,521.0,1073.0,1795.0
GB,SK,1661.0,764.0,838.0,1410.0
TR,UA,1652.0,3109.0,2634.0,254.0
SK,GB,1652.0,788.0,855.0,1461.0
PL,FI,1630.0,478.0,593.0,2249.0
GR,CZ,1627.0,360.0,854.0,1181.0
RU,SE,1615.0,560.0,542.0,82.0
AT,RO,1611.0,549.0,1082.0,1873.0
RU,BE,1609.0,736.0,518.0,94.0
RS,CH,1608.0,723.0,755.0,2168.0
NO,BE,1600.0,793.0,813.0,1506.0
CH,RS,1592.0,959.0,1518.0,2198.0
DK,IS,1586.0,640.0,593.0,1166.0
CZ,GR,1582.0,324.0,827.0,1218.0
LU,ES,1567.0,992.0,1468.0,2214.0
LV,EE,1564.0,906.0,902.0,1093.0
PT,LU,1559.0,1589.0,2013.0,3021.0
FI,PL,1553.0,471.0,572.0,2167.0
IS,DK,1536.0,575.0,613.0,1193.0
TR,KZ,1528.0,756.0,1056.0,306.0
PL,AT,1527.0,1020.0,1291.0,3037.0
EE,LV,1524.0,936.0,907.0,1098.0
LU,NL,1518.0,684.0,978.0,1264.0
GR,IL,1482.0,717.0,1032.0,1765.0
AT,PL,1472.0,1001.0,1300.0,3022.0
IL,TR,1430.0,741.0,2479.0,4539.0
LU,PT,1429.0,1563.0,2002.0,3000.0
NO,LV,1428.0,721.0,561.0,793.0
ES,LU,1421.0,1065.0,1564.0,2371.0
RU,IL,1409.0,669.0,593.0,617.0
DE,EE,1395.0,858.0,1071.0,1722.0
SE,GR,1394.0,138.0,631.0,1309.0
DK,LV,1386.0,612.0,650.0,1097.0
EE,DE,1380.0,723.0,932.0,1639.0
LT,GB,1375.0,1385.0,1923.0,3054.0
GB,IL,1372.0,1330.0,1258.0,2917.0
HR,GB,1363.0,503.0,704.0,2212.0
RS,RU,1355.0,546.0,1027.0,703.0
RU,RS,1350.0,520.0,1079.0,703.0
LV,DK,1345.0,614.0,661.0,1263.0
