admin3,event_type,year,fatalities
Chornomorska (selyshchna),Explosions/Remote violence,2023,0
Chornomorska (selyshchna),Explosions/Remote violence,2024,0
Chortkivska,Explosions/Remote violence,2022,0
Chudnivska,Explosions/Remote violence,2022,0
Chudnivska,Explosions/Remote violence,2023,0
Chuhuivska,Battles,2022,10
Chuhuivska,Explosions/Remote violence,2022,89
Chuhuivska,Explosions/Remote violence,2023,0
Chuhuivska,Explosions/Remote violence,2024,4
Chulakivska,Battles,2022,10
Chulakivska,Battles,2023,0
Chulakivska,Explosions/Remote violence,2022,323
Chulakivska,Explosions/Remote violence,2023,0
Chulakivska,Explosions/Remote violence,2024,0
Chupakhivska,Explosions/Remote violence,2022,0
Chupakhivska,Explosions/Remote violence,2023,0
Chupakhivska,Explosions/Remote violence,2024,0
Chyhyrynska,Explosions/Remote violence,2022,10
Chystenska,Explosions/Remote violence,2023,0
Chystiakivska,Battles,2021,0
Chystiakivska,Explosions/Remote violence,2021,0
Chystiakivska,Explosions/Remote violence,2022,0
Chystiakivska,Explosions/Remote violence,2023,0
Dachnenska,Explosions/Remote violence,2022,104
Dalnytska,Explosions/Remote violence,2022,1
Dalnytska,Explosions/Remote violence,2023,0
Darivska,Battles,2022,50
Darivska,Battles,2023,0
Darivska,Battles,2024,80
Darivska,Explosions/Remote violence,2022,160
Darivska,Explosions/Remote violence,2023,18
Darivska,Explosions/Remote violence,2024,328
Debaltsivska,Battles,2020,1
Debaltsivska,Battles,2021,7
Debaltsivska,Battles,2022,0
Debaltsivska,Battles,2023,0
Debaltsivska,Battles,2024,0
Debaltsivska,Explosions/Remote violence,2020,0
Debaltsivska,Explosions/Remote violence,2021,1
Debaltsivska,Explosions/Remote violence,2022,0
Debaltsivska,Explosions/Remote violence,2023,0
Debaltsivska,Explosions/Remote violence,2024,1
Deliatynska,Explosions/Remote violence,2022,0
Derazhnianska,Explosions/Remote violence,2023,0
Derhachivska,Battles,2022,71
Derhachivska,Battles,2024,203
Derhachivska,Explosions/Remote violence,2022,81
Derhachivska,Explosions/Remote violence,2023,5
Derhachivska,Explosions/Remote violence,2024,189
Desnianska,Explosions/Remote violence,2022,87
Dmytrivska,Battles,2022,0
Dmytrivska,Explosions/Remote violence,2022,19
Dmytrivska,Explosions/Remote violence,2024,0
Dniprorudnenska,Explosions/Remote violence,2022,0
Dniprorudnenska,Explosions/Remote violence,2023,0
Dniprorudnenska,Explosions/Remote violence,2024,0
Dniprovska,Explosions/Remote violence,2022,32
Dniprovska,Explosions/Remote violence,2023,64
Dniprovska,Explosions/Remote violence,2024,29
Dobrianska,Battles,2022,0
Dobrianska,Explosions/Remote violence,2022,0
Dobrianska,Explosions/Remote violence,2023,0
Dobrianska,Explosions/Remote violence,2024,0
Dobrivska,Explosions/Remote violence,2023,3
Dobrivska,Explosions/Remote violence,2024,0
Dobropilska,Battles,2022,0
Dobropilska,Battles,2023,0
Dobropilska,Battles,2024,19
Dobropilska,Explosions/Remote violence,2022,6
Dobropilska,Explosions/Remote violence,2023,3
Dobropilska,Explosions/Remote violence,2024,10
Dobroslavska,Explosions/Remote violence,2022,0
Dobrotvirska,Explosions/Remote violence,2024,0
Dokuchaievska,Battles,2020,1
Dokuchaievska,Battles,2021,0
Dokuchaievska,Battles,2022,7
Dokuchaievska,Battles,2024,3
Dokuchaievska,Explosions/Remote violence,2020,2
Dokuchaievska,Explosions/Remote violence,2021,0
Dokuchaievska,Explosions/Remote violence,2022,63
Dokuchaievska,Explosions/Remote violence,2023,11
Dokuchaievska,Explosions/Remote violence,2024,4
Dolmativska,Explosions/Remote violence,2022,0
Dolynska,Battles,2023,0
Dolynska,Explosions/Remote violence,2022,0
Dolynska,Explosions/Remote violence,2023,0
Dolynska,Explosions/Remote violence,2024,0
Domanivska,Explosions/Remote violence,2022,0
Donetska,Battles,2020,2
Donetska,Battles,2021,4
Donetska,Battles,2022,856
Donetska,Battles,2023,493
Donetska,Battles,2024,8
